,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
0,2019-01-03 09:44:00,2019-01-03 10:46:00,BANKNIFTY03JAN1927100PE,45.25,82.25,25,-1,-925.0,stoploss hit
1,2019-01-03 11:33:00,2019-01-03 15:20:00,BANKNIFTY03JAN1927100CE,47.0,0.1,25,-1,1172.5,expiry over
2,2019-01-03 15:18:00,2019-01-03 15:20:00,BANKNIFTY03JAN1927000CE,0.1,0.05,25,-1,1.25,expiry over
3,2019-01-10 10:27:00,2019-01-10 14:23:00,BANKNIFTY10JAN1927600PE,54.4,106.15,25,-1,-1293.7500000000002,stoploss hit
4,2019-01-10 12:06:00,2019-01-10 15:20:00,BANKNIFTY10JAN1927600CE,39.25,0.05,25,-1,980.0000000000001,expiry over
5,2019-01-17 13:50:00,2019-01-17 14:15:00,BANKNIFTY17JAN1927400CE,9.1,20.8,25,-1,-292.5,stoploss hit
6,2019-01-17 12:04:00,2019-01-17 14:40:00,BANKNIFTY17JAN1927500CE,21.95,42.15,25,-1,-505.0,stoploss hit
7,2019-01-17 14:40:00,2019-01-17 15:20:00,BANKNIFTY17JAN1927500PE,4.8,0.15,25,-1,116.24999999999999,expiry over
8,2019-01-24 13:44:00,2019-01-24 14:05:00,BANKNIFTY24JAN1927200CE,26.05,51.0,25,-1,-623.75,stoploss hit
9,2019-01-24 09:47:00,2019-01-24 15:20:00,BANKNIFTY24JAN1927200PE,39.45,0.25,25,-1,980.0000000000001,expiry over
10,2019-01-31 09:31:00,2019-01-31 15:20:00,BANKNIFTY31JAN1926900PE,56.3,0.25,25,-1,1401.25,expiry over
11,2019-01-31 11:31:00,2019-01-31 15:20:00,BANKNIFTY31JAN1927000PE,57.55,0.2,25,-1,1433.7499999999998,expiry over
12,2019-01-31 13:36:00,2019-01-31 15:20:00,BANKNIFTY31JAN1926800PE,3.2,0.15,25,1,-76.25,expiry over
13,2019-01-31 13:36:00,2019-01-31 15:20:00,BANKNIFTY31JAN1927100PE,46.15,0.15,25,-1,1150.0,expiry over
14,2019-01-31 14:37:00,2019-01-31 15:20:00,BANKNIFTY31JAN1927100PE,6.05,0.15,25,1,-147.5,expiry over
15,2019-01-31 14:37:00,2019-01-31 15:20:00,BANKNIFTY31JAN1927200PE,27.1,0.2,25,-1,672.5,expiry over
16,2019-02-14 10:22:00,2019-02-14 14:09:00,BANKNIFTY14FEB1926900CE,46.8,104.3,25,-1,-1437.5,stoploss hit
17,2019-02-14 12:12:00,2019-02-14 15:20:00,BANKNIFTY14FEB1926900PE,36.45,0.15,25,-1,907.5000000000001,expiry over
18,2019-02-21 11:28:00,2019-02-21 15:20:00,BANKNIFTY21FEB1927000PE,34.5,0.15,25,-1,858.75,expiry over
19,2019-02-28 09:40:00,2019-02-28 15:20:00,BANKNIFTY28FEB1926900CE,60.65,0.15,25,-1,1512.5,expiry over
20,2019-03-07 13:38:00,2019-03-07 15:20:00,BANKNIFTY07MAR1927600PE,22.95,0.1,25,-1,571.25,expiry over
21,2019-03-07 14:15:00,2019-03-07 15:20:00,BANKNIFTY07MAR1927700PE,21.05,0.2,25,-1,521.25,expiry over
22,2019-03-14 13:04:00,2019-03-14 13:32:00,BANKNIFTY14MAR1928900CE,36.6,71.9,25,-1,-882.5000000000001,stoploss hit
23,2019-03-14 09:31:00,2019-03-14 15:20:00,BANKNIFTY14MAR1929100CE,58.05,0.1,25,-1,1448.75,expiry over
24,2019-03-14 10:15:00,2019-03-14 15:20:00,BANKNIFTY14MAR1929000CE,52.65,0.15,25,-1,1312.5,expiry over
25,2019-03-14 13:04:00,2019-03-14 15:20:00,BANKNIFTY14MAR1929100CE,6.4,0.1,25,1,-157.50000000000003,expiry over
26,2019-03-20 09:35:00,2019-03-20 14:12:00,BANKNIFTY20MAR1929700CE,62.95,118.2,25,-1,-1381.25,stoploss hit
27,2019-03-20 09:54:00,2019-03-20 15:20:00,BANKNIFTY20MAR1929700PE,42.4,0.15,25,-1,1056.25,expiry over
28,2019-03-20 14:17:00,2019-03-20 15:20:00,BANKNIFTY20MAR1929800PE,15.8,0.15,25,-1,391.25,expiry over
29,2019-03-28 09:35:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930000PE,70.8,0.15,25,-1,1766.2499999999998,expiry over
30,2019-03-28 09:56:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930100PE,69.55,0.1,25,-1,1736.25,expiry over
31,2019-03-28 13:17:00,2019-03-28 15:20:00,BANKNIFTY28MAR1929900PE,4.0,0.15,25,1,-96.25,expiry over
32,2019-03-28 13:17:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930200PE,47.0,0.05,25,-1,1173.75,expiry over
33,2019-03-28 13:49:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930000PE,2.55,0.15,25,1,-60.0,expiry over
34,2019-03-28 13:49:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930300PE,25.15,0.1,25,-1,626.2499999999999,expiry over
35,2019-03-28 15:02:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930400PE,28.0,0.5,25,1,-687.5,expiry over
36,2019-03-28 15:02:00,2019-03-28 15:20:00,BANKNIFTY28MAR1930400PE,28.0,0.5,25,-1,687.5,expiry over
