,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
0,03-01-2019 09:44,03-01-2019 10:46,BANKNIFTY03JAN1927100PE,45.25,82.25,25,-1,-925,stoploss hit
1,03-01-2019 11:33,03-01-2019 15:20,BANKNIFTY03JAN1927100CE,47,0.1,25,-1,1172.5,expiry over
2,03-01-2019 15:18,03-01-2019 15:20,BANKNIFTY03JAN1927000CE,0.1,0.05,25,-1,1.25,expiry over
3,10-01-2019 10:27,10-01-2019 14:23,BANKNIFTY10JAN1927600PE,54.4,106.15,25,-1,-1293.75,stoploss hit
4,10-01-2019 12:06,10-01-2019 15:20,BANKNIFTY10JAN1927600CE,39.25,0.05,25,-1,980,expiry over
5,17-01-2019 13:50,17-01-2019 14:15,BANKNIFTY17JAN1927400CE,9.1,20.8,25,-1,-292.5,stoploss hit
6,17-01-2019 12:04,17-01-2019 14:40,BANKNIFTY17JAN1927500CE,21.95,42.15,25,-1,-505,stoploss hit
7,17-01-2019 14:40,17-01-2019 15:20,BANKNIFTY17JAN1927500PE,4.8,0.15,25,-1,116.25,expiry over
8,24-01-2019 13:44,24-01-2019 14:05,BANKNIFTY24JAN1927200CE,26.05,51,25,-1,-623.75,stoploss hit
9,24-01-2019 09:47,24-01-2019 15:20,BANKNIFTY24JAN1927200PE,39.45,0.25,25,-1,980,expiry over
10,31-01-2019 09:31,31-01-2019 15:20,BANKNIFTY31JAN1926900PE,56.3,0.25,25,-1,1401.25,expiry over
11,31-01-2019 11:31,31-01-2019 15:20,BANKNIFTY31JAN1927000PE,57.55,0.2,25,-1,1433.75,expiry over
12,31-01-2019 13:36,31-01-2019 15:20,BANKNIFTY31JAN1926800PE,3.2,0.15,25,1,-76.25,expiry over
13,31-01-2019 13:36,31-01-2019 15:20,BANKNIFTY31JAN1927100PE,46.15,0.15,25,-1,1150,expiry over
14,31-01-2019 14:37,31-01-2019 15:20,BANKNIFTY31JAN1927100PE,6.05,0.15,25,1,-147.5,expiry over
15,31-01-2019 14:37,31-01-2019 15:20,BANKNIFTY31JAN1927200PE,27.1,0.2,25,-1,672.5,expiry over
16,14-02-2019 10:22,14-02-2019 14:09,BANKNIFTY14FEB1926900CE,46.8,104.3,25,-1,-1437.5,stoploss hit
17,14-02-2019 12:12,14-02-2019 15:20,BANKNIFTY14FEB1926900PE,36.45,0.15,25,-1,907.5,expiry over
18,21-02-2019 11:28,21-02-2019 15:20,BANKNIFTY21FEB1927000PE,34.5,0.15,25,-1,858.75,expiry over
19,28-02-2019 09:40,28-02-2019 15:20,BANKNIFTY28FEB1926900CE,60.65,0.15,25,-1,1512.5,expiry over
20,07-03-2019 13:38,07-03-2019 15:20,BANKNIFTY07MAR1927600PE,22.95,0.1,25,-1,571.25,expiry over
21,07-03-2019 14:15,07-03-2019 15:20,BANKNIFTY07MAR1927700PE,21.05,0.2,25,-1,521.25,expiry over
22,14-03-2019 13:04,14-03-2019 13:32,BANKNIFTY14MAR1928900CE,36.6,71.9,25,-1,-882.5,stoploss hit
23,14-03-2019 09:31,14-03-2019 15:20,BANKNIFTY14MAR1929100CE,58.05,0.1,25,-1,1448.75,expiry over
24,14-03-2019 10:15,14-03-2019 15:20,BANKNIFTY14MAR1929000CE,52.65,0.15,25,-1,1312.5,expiry over
25,14-03-2019 13:04,14-03-2019 15:20,BANKNIFTY14MAR1929100CE,6.4,0.1,25,1,-157.5,expiry over
26,20-03-2019 09:35,20-03-2019 14:12,BANKNIFTY20MAR1929700CE,62.95,118.2,25,-1,-1381.25,stoploss hit
27,20-03-2019 09:54,20-03-2019 15:20,BANKNIFTY20MAR1929700PE,42.4,0.15,25,-1,1056.25,expiry over
28,20-03-2019 14:17,20-03-2019 15:20,BANKNIFTY20MAR1929800PE,15.8,0.15,25,-1,391.25,expiry over
29,28-03-2019 09:35,28-03-2019 15:20,BANKNIFTY28MAR1930000PE,70.8,0.15,25,-1,1766.25,expiry over
30,28-03-2019 09:56,28-03-2019 15:20,BANKNIFTY28MAR1930100PE,69.55,0.1,25,-1,1736.25,expiry over
31,28-03-2019 13:17,28-03-2019 15:20,BANKNIFTY28MAR1929900PE,4,0.15,25,1,-96.25,expiry over
32,28-03-2019 13:17,28-03-2019 15:20,BANKNIFTY28MAR1930200PE,47,0.05,25,-1,1173.75,expiry over
33,28-03-2019 13:49,28-03-2019 15:20,BANKNIFTY28MAR1930000PE,2.55,0.15,25,1,-60,expiry over
34,28-03-2019 13:49,28-03-2019 15:20,BANKNIFTY28MAR1930300PE,25.15,0.1,25,-1,626.25,expiry over
35,28-03-2019 15:02,28-03-2019 15:20,BANKNIFTY28MAR1930400PE,28,0.5,25,1,-687.5,expiry over
36,28-03-2019 15:02,28-03-2019 15:20,BANKNIFTY28MAR1930400PE,28,0.5,25,-1,687.5,expiry over
37,28-03-2019 15:07,28-03-2019 15:20,BANKNIFTY28MAR1930500CE,2.25,0.2,25,-1,51.25,expiry over
38,04-04-2019 09:34,04-04-2019 11:56,BANKNIFTY04APR1930100PE,84.2,161.9,25,-1,-1942.5,stoploss hit
39,04-04-2019 11:57,04-04-2019 12:19,BANKNIFTY04APR1930000CE,69.05,146.5,25,-1,-1936.25,stoploss hit
40,04-04-2019 11:54,04-04-2019 12:22,BANKNIFTY04APR1930100CE,66.25,137.45,25,-1,-1780,stoploss hit
41,04-04-2019 12:20,04-04-2019 14:17,BANKNIFTY04APR1930100PE,52.8,131.3,25,-1,-1962.5,stoploss hit
42,04-04-2019 14:06,04-04-2019 15:20,BANKNIFTY04APR1930100CE,19.95,0.1,25,-1,496.25,expiry over
43,04-04-2019 14:19,04-04-2019 15:20,BANKNIFTY04APR1930000CE,19.1,0.1,25,-1,475,expiry over
44,04-04-2019 14:35,04-04-2019 15:20,BANKNIFTY04APR1930000CE,4.5,0.1,25,1,-110,expiry over
45,04-04-2019 14:35,04-04-2019 15:20,BANKNIFTY04APR1929900CE,17.95,0.8,25,-1,428.75,expiry over
46,11-04-2019 14:08,11-04-2019 14:17,BANKNIFTY11APR1929700CE,20.1,39.3,25,-1,-480,stoploss hit
47,11-04-2019 10:00,11-04-2019 15:20,BANKNIFTY11APR1929800CE,63.25,0.45,25,-1,1570,expiry over
48,18-04-2019 09:38,18-04-2019 15:20,BANKNIFTY18APR1930600CE,51.15,0.05,25,-1,1277.5,expiry over
49,18-04-2019 09:46,18-04-2019 15:20,BANKNIFTY18APR1930500CE,49.3,0.1,25,-1,1230,expiry over
50,18-04-2019 10:18,18-04-2019 15:20,BANKNIFTY18APR1930700CE,2.85,0.1,25,1,-68.75,expiry over
51,18-04-2019 10:18,18-04-2019 15:20,BANKNIFTY18APR1930400CE,53.15,0.1,25,-1,1326.25,expiry over
52,18-04-2019 15:09,18-04-2019 15:20,BANKNIFTY18APR1930300CE,2.6,0.2,25,1,-60,expiry over
53,18-04-2019 15:09,18-04-2019 15:20,BANKNIFTY18APR1930300CE,2.6,0.2,25,-1,60,expiry over
54,25-04-2019 11:27,25-04-2019 12:19,BANKNIFTY25APR1930000PE,58.9,112.9,25,-1,-1350,stoploss hit
55,25-04-2019 09:31,25-04-2019 14:03,BANKNIFTY25APR1929900PE,58.5,118.6,25,-1,-1502.5,stoploss hit
56,25-04-2019 14:53,25-04-2019 14:59,BANKNIFTY25APR1929800CE,8.35,20.25,25,-1,-297.5,stoploss hit
57,25-04-2019 13:35,25-04-2019 15:20,BANKNIFTY25APR1929900CE,43.9,0.2,25,-1,1092.5,expiry over
58,25-04-2019 15:01,25-04-2019 15:20,BANKNIFTY25APR1929800CE,3.25,0.2,25,-1,76.25,expiry over
59,25-04-2019 15:02,25-04-2019 15:20,BANKNIFTY25APR1929700CE,10,0.25,25,1,-243.75,expiry over
