EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
02-01-2017,09:30:00,46.9,Sell,02-01-2017,15:15:00,32.1,18300CE,370
02-01-2017,09:30:00,46.15,Sell,02-01-2017,10:34:00,60,17800PE,-346.25
02-01-2017,09:32:00,81.65,Buy,02-01-2017,12:44:00,106.05,17900PE,610
02-01-2017,14:10:00,46.15,Sell,02-01-2017,15:15:00,45.55,17800PE,15
03-01-2017,09:30:00,44.2,Sell,03-01-2017,09:53:00,57.45,18100CE,-331.25
03-01-2017,09:30:00,56.05,Sell,03-01-2017,15:15:00,18.65,17700PE,935
03-01-2017,09:50:00,76.95,Buy,03-01-2017,13:18:00,100.05,18000CE,577.5
04-01-2017,09:30:00,38.6,Sell,04-01-2017,15:15:00,4.95,18200CE,841.25
04-01-2017,09:30:00,41.55,Sell,04-01-2017,09:36:00,54,17900PE,-311.25
04-01-2017,09:36:00,85.25,Buy,04-01-2017,11:20:00,76.7,18000PE,-213.75
04-01-2017,09:51:00,41.55,Sell,04-01-2017,10:41:00,54,17900PE,-311.25
05-01-2017,09:30:00,24.25,Sell,05-01-2017,09:34:00,31.5,18100CE,-181.25
05-01-2017,09:30:00,37.45,Sell,05-01-2017,15:15:00,0.1,18000PE,933.75
05-01-2017,09:31:00,73.65,Buy,05-01-2017,10:18:00,58.9,18000CE,-368.75
05-01-2017,10:04:00,24.25,Sell,05-01-2017,12:14:00,31.5,18100CE,-181.25
06-01-2017,09:30:00,41.7,Sell,06-01-2017,10:03:00,54.2,18500CE,-312.5
06-01-2017,09:30:00,45.35,Sell,06-01-2017,15:15:00,31.15,17900PE,355
06-01-2017,09:59:00,77.05,Buy,06-01-2017,11:15:00,69.35,18400CE,-192.5
06-01-2017,11:15:00,41.7,Sell,06-01-2017,13:43:00,54.2,18500CE,-312.5
09-01-2017,09:30:00,55.3,Sell,09-01-2017,15:15:00,38.1,18500CE,430
09-01-2017,09:30:00,46.8,Sell,09-01-2017,10:41:00,60.85,18100PE,-351.25
09-01-2017,09:34:00,78.1,Buy,09-01-2017,11:23:00,70.3,18200PE,-195
09-01-2017,11:07:00,46.8,Sell,09-01-2017,15:15:00,44.2,18100PE,65
10-01-2017,09:30:00,46.65,Sell,10-01-2017,15:15:00,37.8,18500CE,221.25
10-01-2017,09:30:00,39.75,Sell,10-01-2017,09:36:00,51.7,18200PE,-298.75
10-01-2017,09:36:00,77.9,Buy,10-01-2017,13:20:00,70.1,18300PE,-195
10-01-2017,12:34:00,39.75,Sell,10-01-2017,15:15:00,29.75,18200PE,250
11-01-2017,09:30:00,33.15,Sell,11-01-2017,09:37:00,43.1,18600CE,-248.75
11-01-2017,09:30:00,32.05,Sell,11-01-2017,15:15:00,3.65,18400PE,710
11-01-2017,09:35:00,82.85,Buy,11-01-2017,15:15:00,285,18500CE,5053.75
12-01-2017,09:30:00,57.55,Sell,12-01-2017,15:15:00,0.15,18900CE,1435
12-01-2017,09:30:00,47.35,Sell,12-01-2017,09:54:00,61.55,18900PE,-355
12-01-2017,09:32:00,66.2,Buy,12-01-2017,09:51:00,52.95,18900CE,-331.25
12-01-2017,09:53:00,120.9,Buy,12-01-2017,10:58:00,120.9,19000PE,-3.55E-13
12-01-2017,12:59:00,46.8,Sell,12-01-2017,13:37:00,60.85,18900PE,-351.25
13-01-2017,09:30:00,57.45,Sell,13-01-2017,15:15:00,58.45,19100CE,-25
13-01-2017,09:30:00,57.4,Sell,13-01-2017,15:15:00,40.95,18600PE,411.25
13-01-2017,13:38:00,95.8,Buy,13-01-2017,14:16:00,76.65,19000CE,-478.75
13-01-2017,10:17:00,97.75,Buy,13-01-2017,10:52:00,78.2,18700PE,-488.75
16-01-2017,09:30:00,38.85,Sell,16-01-2017,10:38:00,50.5,19200CE,-291.25
16-01-2017,09:30:00,48.35,Sell,16-01-2017,09:41:00,62.85,18700PE,-362.5
16-01-2017,10:24:00,73.45,Buy,16-01-2017,15:15:00,113.5,19100CE,1001.25
16-01-2017,09:34:00,82.65,Buy,16-01-2017,10:17:00,66.1,18800PE,-413.75
16-01-2017,10:01:00,48.35,Sell,16-01-2017,15:15:00,21.8,18700PE,663.75
17-01-2017,09:30:00,36.35,Sell,17-01-2017,15:15:00,18,19400CE,458.75
17-01-2017,09:30:00,55,Sell,17-01-2017,10:40:00,71.5,19000PE,-412.5
17-01-2017,09:34:00,97.6,Buy,17-01-2017,09:39:00,78.1,19100PE,-487.5
17-01-2017,14:49:00,55,Sell,17-01-2017,15:15:00,60,19000PE,-125
18-01-2017,09:30:00,48.05,Sell,18-01-2017,09:41:00,62.45,19300CE,-360
18-01-2017,09:30:00,50.3,Sell,18-01-2017,15:15:00,31.1,19100PE,480
18-01-2017,09:38:00,96.6,Buy,18-01-2017,12:11:00,86.95,19200CE,-241.25
18-01-2017,13:56:00,103.25,Buy,18-01-2017,14:42:00,82.6,19200PE,-516.25
18-01-2017,12:11:00,48.05,Sell,18-01-2017,15:15:00,29.95,19300CE,452.5
19-01-2017,09:30:00,28.85,Sell,19-01-2017,15:15:00,0.1,19200CE,718.75
19-01-2017,09:30:00,31.7,Sell,19-01-2017,09:34:00,41.2,19100PE,-237.5
19-01-2017,09:34:00,91.5,Buy,19-01-2017,11:22:00,91.5,19200PE,3.55E-13
19-01-2017,11:22:00,31.7,Sell,19-01-2017,15:15:00,0.15,19100PE,788.75
